1,Team,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Shots,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Distance from goal,Shots from FK,PK made,PK attempted
30,Bayern Munich,Matchweek 29,Home,D,2,2,Dortmund,2.3,1.6,62,28,11,39.3,0.07,0.18,17.8,0,0,0
31,Bayern Munich,Matchweek 30,Away,W,4,0,Heidenheim,3.2,0.6,68,18,11,61.1,0.22,0.36,15.2,1,0,0
32,Bayern Munich,Matchweek 31,Home,W,3,0,Mainz 05,1.1,0.7,59,14,6,42.9,0.21,0.5,16.4,0,0,0
33,Bayern Munich,Matchweek 32,Away,D,3,3,RB Leipzig,1.6,1.2,62,20,6,30,0.15,0.5,16.6,0,0,0
34,Bayern Munich,Matchweek 33,Home,W,2,0,Gladbach,2.5,1.6,62,24,9,37.5,0.08,0.22,17.7,0,0,0
35,Bayern Munich,Matchweek 34,Away,W,4,0,Hoffenheim,1.4,0.4,66,14,5,35.7,0.29,0.8,19.1,1,0,0
36,Leverkusen,Matchweek 1,Away,W,3,2,Gladbach,2.7,1.6,57,24,9,37.5,0.13,0.33,18.3,1,0,1
37,Leverkusen,Matchweek 2,Home,L,2,3,RB Leipzig,2.2,1.1,62,26,10,38.5,0.08,0.2,15.6,0,0,0
38,Leverkusen,Matchweek 3,Away,W,4,1,Hoffenheim,3.5,0.9,60,19,6,31.6,0.16,0.5,15.8,1,1,1
39,Leverkusen,Matchweek 4,Home,W,4,3,Wolfsburg,1.9,0.7,78,20,7,35,0.2,0.57,16.3,0,0,0
40,Leverkusen,Matchweek 5,Away,D,1,1,Bayern Munich,0.1,1.4,31,3,2,66.7,0.33,0.5,40.5,0,0,0
41,Leverkusen,Matchweek 6,Home,D,2,2,Holstein Kiel,2.1,1.6,74,23,7,30.4,0.09,0.29,18.3,0,0,0
42,Leverkusen,Matchweek 7,Home,W,2,1,Eint Frankfurt,3.8,1.9,54,26,8,30.8,0.08,0.25,17.4,0,0,1
43,Leverkusen,Matchweek 8,Away,D,2,2,Werder Bremen,1.3,1.6,57,14,5,35.7,0.07,0.2,15.2,1,0,0
44,Leverkusen,Matchweek 9,Home,D,0,0,Stuttgart,2.2,0.3,53,19,5,26.3,0,0,13.4,0,0,0
45,Leverkusen,Matchweek 10,Away,D,1,1,Bochum,1.2,0.7,70,11,3,27.3,0.09,0.33,16.4,0,0,0
46,Leverkusen,Matchweek 11,Home,W,5,2,Heidenheim,2.2,1.1,78,20,10,50,0.25,0.5,17.8,0,0,0
47,Leverkusen,Matchweek 12,Away,W,2,1,Union Berlin,0.9,0.7,62,8,3,37.5,0.25,0.67,16.2,1,0,0
48,Leverkusen,Matchweek 13,Home,W,2,1,St. Pauli,0.9,1.8,62,6,2,33.3,0.33,1,18.6,1,0,0
49,Leverkusen,Matchweek 14,Away,W,2,0,Augsburg,0.8,0.6,65,14,3,21.4,0.14,0.67,22.1,3,0,0
50,Leverkusen,Matchweek 15,Home,W,5,1,Freiburg,2.8,0.7,67,19,11,57.9,0.26,0.45,15.6,0,0,1
51,Leverkusen,Matchweek 16,Away,W,3,2,Dortmund,1.6,1.3,30,7,5,71.4,0.43,0.6,13.4,0,0,0
52,Leverkusen,Matchweek 17,Home,W,1,0,Mainz 05,1.8,0.7,66,20,8,40,0.05,0.13,18.2,1,0,0
